Relatório de palavras-chave da rede de pesquisa,,,,,,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,,,,,,
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Status,Motivos do status,Valor conv.,Valor conv. / custo,URL final,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Taxa de conv.,Conversões,Custo / conv.,Valor original da conv.
Ativado,[bolo de casamento goiania],Correspondência exata,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,"""doces finos para casamento""",Correspondência de frase,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,"""docinhos para casamento""",Correspondência de frase,Qualificado,,0,0,,0,5,0%,BRL,0,0,0%,0,0,0
Ativado,"""doces para casamento""",Correspondência de frase,Qualificado,,0,0,,0,1,0%,BRL,0,0,0%,0,0,0
Ativado,"""bolo de casamento goiania""",Correspondência de frase,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,"""bolo de casamento""",Correspondência de frase,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,[doces para casamento],Correspondência exata,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,[sobremesa para casamento],Correspondência exata,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,"""mesa de doces casamento""",Correspondência de frase,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,"""doces casamento goiania""",Correspondência de frase,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
Ativado,[bem casado para casamento],Correspondência exata,Qualificado,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
--,,"Total: Todas as palavras-chave, exceto as removidas",--,,0,0,,0,6,0%,BRL,0,0,0%,0,0,0
,,Total: Palavras-chave no seu grupo de anúncios,,,0,0,,0,6,0%,BRL,0,0,0%,0,0,0
,,Total: Suas palavras-chave,,,0,0,,0,6,0%,BRL,0,0,0%,0,0,0
,,Total: Correspondências expandidas da AI Max,,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
,,Total: Correspondências de páginas de destino da AI Max,,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
,,Total: Inclusões de URL no seu grupo de anúncios,,,0,0,,0,0,--,BRL,0,0,0%,0,0,0
,,Total: Grupo de anúncios,,,0,0,,0,6,0%,BRL,0,0,0%,0,0,0
